# Amtliches Gemeindeverzeichnis Oesterreich, Gebietsstand 2026.
# Quelle: Statistik Austria (statistik.at, Gemeindeliste sortiert nach Gemeindekennziffer,
# erstellt 13.08.2026), Nutzung gemaess Open-Data-Bedingungen (CC BY 4.0). Aktualisierung:
# neue Liste herunterladen, dieses Format erzeugen, `manage.py gemeinden_laden` ausfuehren.
kennziffer;name;bezirk;bundesland
10101;Eisenstadt;Eisenstadt(Stadt);Burgenland
10201;Rust;Rust(Stadt);Burgenland
10301;Breitenbrunn am Neusiedler See;Eisenstadt-Umgebung;Burgenland
10302;Donnerskirchen;Eisenstadt-Umgebung;Burgenland
10303;Großhöflein;Eisenstadt-Umgebung;Burgenland
10304;Hornstein;Eisenstadt-Umgebung;Burgenland
10305;Klingenbach;Eisenstadt-Umgebung;Burgenland
10306;Leithaprodersdorf;Eisenstadt-Umgebung;Burgenland
10307;Mörbisch am See;Eisenstadt-Umgebung;Burgenland
10308;Müllendorf;Eisenstadt-Umgebung;Burgenland
10309;Neufeld an der Leitha;Eisenstadt-Umgebung;Burgenland
10310;Oggau am Neusiedler See;Eisenstadt-Umgebung;Burgenland
10311;Oslip;Eisenstadt-Umgebung;Burgenland
10312;Purbach am Neusiedler See;Eisenstadt-Umgebung;Burgenland
10313;Sankt Margarethen im Burgenland;Eisenstadt-Umgebung;Burgenland
10314;Schützen am Gebirge;Eisenstadt-Umgebung;Burgenland
10315;Siegendorf;Eisenstadt-Umgebung;Burgenland
10316;Steinbrunn;Eisenstadt-Umgebung;Burgenland
10317;Trausdorf an der Wulka;Eisenstadt-Umgebung;Burgenland
10318;Wimpassing an der Leitha;Eisenstadt-Umgebung;Burgenland
10319;Wulkaprodersdorf;Eisenstadt-Umgebung;Burgenland
10320;Loretto;Eisenstadt-Umgebung;Burgenland
10321;Stotzing;Eisenstadt-Umgebung;Burgenland
10322;Zillingtal;Eisenstadt-Umgebung;Burgenland
10323;Zagersdorf;Eisenstadt-Umgebung;Burgenland
10401;Bocksdorf;Güssing;Burgenland
10402;Burgauberg-Neudauberg;Güssing;Burgenland
10403;Eberau;Güssing;Burgenland
10404;Gerersdorf-Sulz;Güssing;Burgenland
10405;Güssing;Güssing;Burgenland
10406;Güttenbach;Güssing;Burgenland
10407;Heiligenbrunn;Güssing;Burgenland
10408;Kukmirn;Güssing;Burgenland
10409;Neuberg im Burgenland;Güssing;Burgenland
10410;Neustift bei Güssing;Güssing;Burgenland
10411;Olbendorf;Güssing;Burgenland
10412;Ollersdorf im Burgenland;Güssing;Burgenland
10413;Sankt Michael im Burgenland;Güssing;Burgenland
10414;Stegersbach;Güssing;Burgenland
10415;Stinatz;Güssing;Burgenland
10416;Strem;Güssing;Burgenland
10417;Tobaj;Güssing;Burgenland
10418;Hackerberg;Güssing;Burgenland
10419;Wörterberg;Güssing;Burgenland
10420;Großmürbisch;Güssing;Burgenland
10421;Inzenhof;Güssing;Burgenland
10422;Kleinmürbisch;Güssing;Burgenland
10423;Tschanigraben;Güssing;Burgenland
10424;Heugraben;Güssing;Burgenland
10425;Rohr im Burgenland;Güssing;Burgenland
10426;Bildein;Güssing;Burgenland
10427;Rauchwart;Güssing;Burgenland
10428;Moschendorf;Güssing;Burgenland
10501;Deutsch Kaltenbrunn;Jennersdorf;Burgenland
